"code[unique]","displayOrder","name[lang=tr]","name[lang=en]","name[lang=de]","name[lang=fr]","name[lang=es]","name[lang=it]","isRoot","active","menuType","parentMenuLinkItem(code)","site(code)[unique]"
"product_management","10","Ürün Yönetimi","Product Management","Produktverwaltung","Gestion des produits","Gestión de productos","Gestione prodotti","false","true","ADMIN_PANEL","product_catalog","btc"
"category_management","20","Kategori Yönetimi","Category Management","Kategorieverwaltung","Gestion des catégories","Gestión de categorías","Gestione categorie","false","true","ADMIN_PANEL","product_catalog","btc"
"sectors","30","Sektörler","Sectors","Branchen","Secteurs","Sectores","Settori","false","true","ADMIN_PANEL","product_catalog","btc"
"documents","40","Dokümanlar","Documents","Dokumente","Documents","Documentos","Documenti","false","true","ADMIN_PANEL","product_catalog","btc"
"banner_management","10","Banner Yönetimi","Banner Management","Bannerverwaltung","Gestion des bannières","Gestión de banners","Gestione banner","false","true","ADMIN_PANEL","content_media","btc"
"success_stories_management","20","Başarı Hikayeleri","Success Stories","Erfolgsgeschichten","Histoires de réussite","Historias de éxito","Storie di successo","false","true","ADMIN_PANEL","content_media","btc"
"reference_management","30","Referans Yönetimi","Reference Management","Referenzverwaltung","Gestion des références","Gestión de referencias","Gestione referenze","false","true","ADMIN_PANEL","content_media","btc"
"partners","40","Partnerler","Partners","Partner","Partenaires","Socios","Partner","false","true","ADMIN_PANEL","content_media","btc"
"call_requests","10","Çağrı Talepleri","Call Requests","Anrufanfragen","Demandes d’appel","Solicitudes de llamada","Richieste di chiamata","false","true","ADMIN_PANEL","contact_forms","btc"
"data_privacy_compliance","20","Veri Gizliliği ve Uyumluluk","Data Privacy & Compliance","Datenschutz & Compliance","Confidentialité des données & Conformité","Privacidad de datos y Cumplimiento","Privacy dei dati e Conformità","false","true","ADMIN_PANEL","contact_forms","btc"
"email_templates","30","E-Posta Şablonları","Email Templates","E-Mail-Vorlagen","Modèles d’e-mail","Plantillas de correo electrónico","Modelli e-mail","false","true","ADMIN_PANEL","contact_forms","btc"
"site_configurations","10","Site Konfigürasyonları","Site Configurations","Website-Konfigurationen","Configurations du site","Configuraciones del sitio","Configurazioni del sito","false","true","ADMIN_PANEL","system_settings","btc"
"dashboard_modules","20","Kontrol Paneli Modülleri","Dashboard Modules","Dashboard-Module","Modules du tableau de bord","Módulos del panel","Moduli dashboard","false","true","ADMIN_PANEL","system_settings","btc"
"menu_management","30","Menü Yönetimi","Menu Management","Menüverwaltung","Gestion des menus","Gestión de menús","Gestione menu","false","true","ADMIN_PANEL","system_settings","btc"
"parameters","40","Parametreler","Parameters","Parameter","Paramètres","Parámetros","Parametri","false","true","ADMIN_PANEL","system_settings","btc"
"user_management","50","Kullanıcı Yönetimi","User Management","Benutzerverwaltung","Gestion des utilisateurs","Gestión de usuarios","Gestione utenti","false","true","ADMIN_PANEL","system_settings","btc"
